title,link
"Iran University of Science and Technology | Tehran, Iran |",https://www.researchgate.net/institution/Iran_University_of_Science_and_Technology
"Kharazmi University | Tehran, Iran | KHU",https://www.researchgate.net/institution/Kharazmi-University
Institute for Research and Planning in Higher Education,https://www.researchgate.net/institution/Institute_for_Research_and_Planning_in_Higher_Education
"Institute For Humanities and Cultural Studies | Tehran, Iran",https://www.researchgate.net/institution/Institute-For-Humanities-and-Cultural-Studies
"University of Tehran | Tehran, Iran | UT",https://www.researchgate.net/institution/University-of-Tehran
"Institute For Social and Cultural Studies | Tehran, Iran |",https://www.researchgate.net/institution/Institute_For_Social_and_Cultural_Studies
Islamic Azad University West Tehran Branch,https://www.researchgate.net/institution/Islamic-Azad-University-West-Tehran-Branch
"Sadjad Institute of Higher Education | Mashhad, Iran |",https://www.researchgate.net/institution/Sadjad_Institute_of_higher_education
"University of Maragheh | Marāgheh, Iran |",https://www.researchgate.net/institution/University_of_Maragheh
"Royan Institute | Tehran, Iran |",https://www.researchgate.net/institution/Royan-Institute
"Technical and Vocational University of Iran | Tehran, Iran |",https://www.researchgate.net/institution/Technical_and_Vocational_University_of_Iran
Chabahar Maritime University,https://www.researchgate.net/institution/Chabahar-Maritime-University
"Baqiyatallah University of Medical Sciences | Tehran, Iran",https://www.researchgate.net/institution/Baqiyatallah-University-of-Medical-Sciences
"University of Economic Sciences | Tehran, Iran |",https://www.researchgate.net/institution/University_of_Economic_Sciences
Islamic Azad University East Tehran Branch,https://www.researchgate.net/institution/Islamic-Azad-University-East-Tehran-Branch
"Hamadan University of Medical Sciences | Hamadān, Iran",https://www.researchgate.net/institution/Hamadan_University_of_Medical_Sciences
"Sharif University of Technology | Tehran, Iran",https://www.researchgate.net/institution/Sharif_University_of_Technology
Shahrekord University of Medical Sciences - ResearchGate,https://www.researchgate.net/institution/Shahrekord_University_of_Medical_Sciences
"University of Mazandaran | Bābolsar, Iran | UMZ",https://www.researchgate.net/institution/University-of-Mazandaran
"University of Tabriz | Tabriz, Iran |",https://www.researchgate.net/institution/University_of_Tabriz
"University of Mohaghegh Ardabili | Ardabīl, Iran | UMA",https://www.researchgate.net/institution/University-of-Mohaghegh-Ardabili
"Semnan University | Semnān, Iran |",https://www.researchgate.net/institution/Semnan_University
"Payame Noor University | Tehran, Iran | PNU",https://www.researchgate.net/institution/Payame_Noor_University
National Nutrition and Food Technology Research Institute ...,https://www.researchgate.net/institution/National-Nutrition-and-Food-Technology-Research-Institute-of-Iran
"Tabriz University of Medical Sciences | Tabriz, Iran | TBZMED",https://www.researchgate.net/institution/Tabriz-University-of-Medical-Sciences/members
"Khaje Nasir Toosi University of Technology | Tehran, Iran",https://www.researchgate.net/institution/Khaje-Nasir-Toosi-University-of-Technology
Shahid Sadoughi University of Medical Sciences and ...,https://www.researchgate.net/institution/Shahid_Sadoughi_University_of_Medical_Sciences_and_Health_Services
"University of Bojnord | Bojnūrd, Iran |",https://www.researchgate.net/institution/University_of_Bojnord
"Islamic Azad University - Saveh Branch | Sāveh, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Saveh-Branch
"University of Kurdistan | Sanandaj, Iran | UoK",https://www.researchgate.net/institution/University-of-Kurdistan
"Malayer University | Malāyer, Iran |",https://www.researchgate.net/institution/Malayer-University
"Shahid Beheshti University | Tehran, Iran | SBU",https://www.researchgate.net/institution/Shahid_Beheshti_University
"Islamic Azad University, Sari | Sari, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Sari
"Imam Sadiq University | Tehran, Iran | ISU",https://www.researchgate.net/institution/Imam-Sadiq-University
"University of Tehran | Tehran, Iran | UT",https://www.researchgate.net/institution/University-of-Tehran/members
"Sheikh Bahaei University | Najafābād, Iran | shbu",https://www.researchgate.net/institution/Sheikh-Bahaei-University
"Islamic Azad University Semnan Branch | Semnān, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Semnan-Branch
Ramin Agriculture and Natural Resources University,https://www.researchgate.net/institution/Ramin_Agriculture_and_Natural_Resources_University
"Isfahan University of Technology | Isfahan, Iran | IUT",https://www.researchgate.net/institution/Isfahan_University_of_Technology
"Power and Water University of Technology | Tehran, Iran",https://www.researchgate.net/institution/Power-and-Water-University-of-Technology
"Iran Transfos | Zanjān, Iran |",https://www.researchgate.net/institution/Iran_Transfos
Fars Research Center for Agriculture and Natural Resources,https://www.researchgate.net/institution/Fars_Research_Center_for_Agriculture_and_Natural_Resources
"Islamic Azad University of Dezful | Dezful, Iran | IAUD",https://www.researchgate.net/institution/Islamic-Azad-University-of-Dezful2
"Abhar Azad University, Abhar, Iran",https://www.researchgate.net/institution/Abhar-Azad-University-Abhar-Iran
"Jiroft University of Medical Sciences | Kerman, Iran |",https://www.researchgate.net/institution/Jiroft_University_of_Medical_Sciences
Islamic Azad University of Pharmaceutical Science,https://www.researchgate.net/institution/Islamic-Azad-University-of-Pharmaceutical-Science
"Hamedan University of Technology | Hamadān, Iran |",https://www.researchgate.net/institution/Hamedan_University_of_Technology
"Quchan University of Technology | Qūchān, Iran |",https://www.researchgate.net/institution/Quchan_University_of_Technology
"Monetary and Banking Research Institute | Tehran, Iran",https://www.researchgate.net/institution/Monetary_and_Banking_Research_Institute
"Sooreh University | Tehran, Iran |",https://www.researchgate.net/institution/Sooreh-University/members
Islamic Azad University of Ahar,https://www.researchgate.net/institution/Islamic-Azad-University-of-Ahar
"Science and Research Ayatollah Amoli Branch | Āmol, Iran",https://www.researchgate.net/institution/Islamic-Azad-University-Science-and-Research-Ayatollah-Amoli-Branch
"Seed and Plant Improvement Institute | Karaj, Iran |",https://www.researchgate.net/institution/Seed-and-Plant-Improvement-Institute
"Islamic Azad University of Ramsar | Rāmsar, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-of-Ramsar
"Rafsanjan University of Medical Sciences | Rafsanjān, Iran",https://www.researchgate.net/institution/Rafsanjan-University-of-Medical-Sciences
"Guilan University of Medical Sciences | Rasht, Iran | GUMS",https://www.researchgate.net/institution/Guilan-University-of-Medical-Sciences
"International University of Imam Reza | Mashhad, Iran |",https://www.researchgate.net/institution/International_University_of_Imam_Reza
Islamic Azad University of Ahvaz,https://www.researchgate.net/institution/Islamic-Azad-University-of-Ahvaz/members
"Islamic Azad University, Mahabad Branch | Mahābād, Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Mahabad_Branch
"Iranian Biological Resource Center | Tehran, Iran |",https://www.researchgate.net/institution/Iranian_Biological_Resource_Center
"Islamic Azad University, Jahrom Branch | Shiraz, Iran | JIA",https://www.researchgate.net/institution/Islamic-Azad-University-Jahrom-Branch/members
"Lorestan University of Medical Sciences | Khorramabad, Iran",https://www.researchgate.net/institution/Lorestan-University-of-Medical-Sciences
Iran Khodro Industrial Group,https://www.researchgate.net/institution/Iran_Khodro_Industrial_Group
"Iran University of Medical Sciences | Tehran, Iran |",https://www.researchgate.net/institution/Iran_University_of_Medical_Sciences/members
"Sooreh University | Tehran, Iran |",https://www.researchgate.net/institution/Sooreh-University
"Academic Center for Education, Culture and Research",https://www.researchgate.net/institution/Academic-Center-for-Education-Culture-and-Research/members
"Islamic Azad University, Shahre Rey branch | Tehran, Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Shahre_Rey_branch
Institute of Applied Scientific Education of Jihad E Agriculture,https://www.researchgate.net/institution/Institute_of_Applied_Scientific_Education_of_Jihad_E_Agriculture
"Mazandaran University of Medical Sciences | Sari, Iran",https://www.researchgate.net/institution/Mazandaran-University-of-Medical-Sciences
"Alzahra University | Tehran, Iran |",https://www.researchgate.net/institution/Alzahra_University/members
Iranian Research Organization for Science and Technology,https://www.researchgate.net/institution/Iranian-Research-Organization-for-Science-and-Technology/members/3
"Jahrom University of Medical Sciences | Tehran, Iran",https://www.researchgate.net/institution/Jahrom-University-of-Medical-Sciences2/members
"Islamic Azad University, Shahreza Branch | Tehran, Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Shahreza_Branch/members
National Iranian Oil Refining & Distribution Company,https://www.researchgate.net/institution/National_Iranian_Oil_Refining_Distribution_Company
"Shahid Rajaee University | Tehran, Iran | SRTTU",https://www.researchgate.net/institution/Shahid_Rajaee_University/members
Islamic Azad University Central Tehran Branch,https://www.researchgate.net/institution/Islamic_Azad_University_Central_Tehran_Branch/members
Islamic Azad University - Parsabad Moghan Branch,https://www.researchgate.net/institution/Islamic_Azad_University-Parsabad_Moghan_Branch
Tehran Art University,https://www.researchgate.net/institution/Tehran-Art-University/members
"Islamic Azad University Falavarjan Branch | Isfahan, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Falavarjan-Branch
Ahvaz Jundishapur University of Medical Sciences,https://www.researchgate.net/institution/Ahvaz_Jundishapur_University_of_Medical_Sciences
"Iranian Institute for Health Sciences Research | Tehran, Iran |",https://www.researchgate.net/institution/Iranian-Institute-for-Health-Sciences-Research
Chemistry & Chemical Engineering Research Center of Iran,https://www.researchgate.net/institution/Chemistry_Chemical_Engineering_Research_Center_of_Iran/members
High Institute for Education and Research in Transfusion ...,https://www.researchgate.net/institution/High-Institute-for-Education-and-Research-in-Transfusion-Medicine
Iran Telecommunication Research Center,https://www.researchgate.net/institution/Iran_Telecommunication_Research_Center/members
"Islamic Azad University Tabriz Branch | Tabriz, Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Tabriz_Branch/members
Zahedan University of Medical Sciences,https://www.researchgate.net/institution/Zahedan_University_of_Medical_Sciences/members
"Islamic Azad University, Damavand Branch",https://www.researchgate.net/institution/Islamic-Azad-University-Damavand-Branch/members
Isfahan University of Technology,https://www.researchgate.net/institution/Isfahan_University_of_Technology/members
"Islamic Azad University, Khoy Branch | Khowy, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Khoy-Branch
"Islamic Azad University Firoozkooh | Tehran, Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Firoozkooh
Islamic Azad University - Bandar-e-Anzali Branch,https://www.researchgate.net/institution/Islamic_Azad_University-Bandar-e-Anzali_Branch
"Bahá'í Institute for Higher Education | Tehran, Iran | BIHE",https://www.researchgate.net/institution/Bahai-Institute-for-Higher-Education
"Islamic Azad University, Quchan Branch | Qūchān, Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Quchan_Branch
"Iranian Space Research Center | Tehran, Iran | ISRC",https://www.researchgate.net/institution/Iranian_Space_Research_Center/members
"Saveh Univeristy of Medical Sciences | Tehran, Iran |",https://www.researchgate.net/institution/Saveh-Univeristy-of-Medical-Sciences/members
"Iranian Biological Resource Center | Tehran, Iran |",https://www.researchgate.net/institution/Iranian_Biological_Resource_Center/members
"Imam Sadiq University | Tehran, Iran | ISU",https://www.researchgate.net/institution/Imam-Sadiq-University/members
"Technical and Vocational University of Iran | Tehran, Iran |",https://www.researchgate.net/institution/Technical_and_Vocational_University_of_Iran/members
"University of Zanjan | Zanjān, Iran |",https://www.researchgate.net/institution/University_of_Zanjan/members
"Iranian Academy of Medical Sciences | Tehran, Iran |",https://www.researchgate.net/institution/Iranian-Academy-of-Medical-Sciences/members
"Shahid Beheshti University of Medical Sciences | Tehran, ...",https://www.researchgate.net/institution/Shahid_Beheshti_University_of_Medical_Sciences/members
"Sadjad Institute of Higher Education | Mashhad, Iran |",https://www.researchgate.net/institution/Sadjad_Institute_of_higher_education/members
"Iran University of Science and Technology | Tehran, Iran |",https://www.researchgate.net/institution/Iran_University_of_Science_and_Technology/members
Islamic Azad University Khomeini Shahr,https://www.researchgate.net/institution/Islamic_Azad_University_Khomeini_Shahr/members
"Islamic Azad University, Gachsaran | Iran |",https://www.researchgate.net/institution/Islamic_Azad_University_Gachsaran
"Islamic Azad University, Zahedan Branch",https://www.researchgate.net/institution/Islamic-Azad-University-Zahedan-Branch/members
"Institute For Humanities and Cultural Studies | Tehran, Iran",https://www.researchgate.net/institution/Institute-For-Humanities-and-Cultural-Studies/members
Institute for Management and Planning Studies (IMPS),https://www.researchgate.net/institution/Institute_for_Management_and_Planning_Studies_IMPS/members/2
"University of Kashan | Kāshān, Iran |",https://www.researchgate.net/institution/University_of_Kashan/members/15
Iranian Institute of Research and Development in Chemical ...,https://www.researchgate.net/institution/Iranian-Institute-of-Research-and-Development-in-Chemical-Industries/members
Institute of Higher Education Mehrastan,https://www.researchgate.net/institution/Institute-of-Higher-Education-Mehrastan/members
Islamic Azad University of Rasht,https://www.researchgate.net/institution/Islamic_Azad_University_of_Rasht/members
"Imam Hossein University | Tehran, Iran |",https://www.researchgate.net/institution/Imam_Hossein_University/members
"University of Kashan | Kāshān, Iran |",https://www.researchgate.net/institution/University_of_Kashan/members/2
"Khatam Institute of Higher Education, Iran | Tehran, Iran |",https://www.researchgate.net/institution/Khatam-Institute-of-Higher-Education-Iran/members
"Islamic Azad University, Kashan Branch | Kāshān, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Kashan-Branch/members
Iran University of Industries and Mines,https://www.researchgate.net/institution/Iran_University_of_Industries_and_Mines/members
"University of Guilan | Rasht, Iran |",https://www.researchgate.net/institution/University_of_Guilan/members/2
"Islamic Azad University, Bonab Branch | Bonāb, Iran |",https://www.researchgate.net/institution/Islamic-Azad-University-Bonab-Branch
"Institute For Social and Cultural Studies | Tehran, Iran |",https://www.researchgate.net/institution/Institute_For_Social_and_Cultural_Studies/members
